source,target,rel
S7_0,S7_1,adj
S7_1,S7_2,adj
S7_2,S7_3,adj
S7_3,S7_4,adj
S7_4,S7_5,adj
S7_5,S7_6,adj
S7_6,S7_7,adj
S7_7,S7_8,adj
S7_8,S7_9,adj
S7_9,S7_10,adj
S7_10,S7_11,adj
S7_11,S7_12,adj
S7_12,S7_13,adj
S7_13,S7_14,adj
S7_14,S7_15,adj
S7_15,S7_16,adj
S7_16,S7_17,adj
S7_17,S7_18,adj
S7_18,S7_19,adj
S7_19,S7_20,adj
S7_0,L7,member
S7_1,L7,member
S7_2,L7,member
S7_3,L7,member
S7_4,L7,member
S7_5,L7,member
S7_6,L7,member
S7_7,L7,member
S7_8,L7,member
S7_9,L7,member
S7_10,L7,member
S7_11,L7,member
S7_12,L7,member
S7_13,L7,member
S7_14,L7,member
S7_15,L7,member
S7_16,L7,member
S7_17,L7,member
S7_18,L7,member
S7_19,L7,member
S7_20,L7,member
S7_0,b_queens,boro
S7_1,b_queens,boro
S7_2,b_queens,boro
S7_3,b_queens,boro
S7_4,b_queens,boro
S7_5,b_queens,boro
S7_6,b_queens,boro
S7_7,b_queens,boro
S7_8,b_queens,boro
S7_9,b_queens,boro
S7_10,b_queens,boro
S7_11,b_queens,boro
S7_12,b_queens,boro
S7_13,b_queens,boro
S7_14,b_queens,boro
S7_15,b_queens,boro
S7_16,b_queens,boro
S7_17,b_queens,boro
S7_18,b_manhattan,boro
S7_19,b_manhattan,boro
S7_20,b_manhattan,boro
